e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
156,Drimmelen,DRIMMELEN,municipality,4.763897,51.69947429,7,10,15,NL.NB.DR,drimmelen,gadm,shape,3,nl,,,,18171,,
157,Eersel,EERSEL,municipality,5.320670853,51.39771807,7,10,15,NL.NB.EE,eersel,gadm,shape,3,nl,,,,13355,,
158,Eindhoven,EINDHOVEN,municipality,5.464640103,51.45137528,7,10,15,NL.NB.EI,eindhoven,gadm,shape,3,nl,,,,14192,,
159,Etten-Leur,ETTEN-LEUR,municipality,4.64799162,51.57880945,7,10,15,NL.NB.EL,etten-leur,gadm,shape,3,nl,,,,8997,,
160,Geertruidenberg,GEERTRUIDENBERG,municipality,4.884953368,51.69793007,7,10,15,NL.NB.GE,geertruidenberg,gadm,shape,3,nl,,,,4799,,
161,Geldrop,GELDROP,municipality,5.562296383,51.42234794,7,10,15,NL.NB.GD,geldrop,gadm,shape,3,nl,,,,2251,,
162,Gemert-Bakel,GEMERT-BAKEL,municipality,5.761985786,51.54211276,7,10,15,NL.NB.GB,gemert-bakel,gadm,shape,3,nl,,,,19841,,
163,Gilze en Rijen,GILZE EN RIJEN,municipality,4.922726623,51.56030194,7,10,15,NL.NB.GR,gilze-en-rijen,gadm,shape,3,nl,,,,10543,,
164,Goirle,GOIRLE,municipality,5.036533631,51.51207228,7,10,15,NL.NB.GO,goirle,gadm,shape,3,nl,,,,6890,,
165,Grave,GRAVE,municipality,5.750538986,51.74440991,7,10,15,NL.NB.GV,grave,gadm,shape,3,nl,,,,4532,,
166,Haaren,HAAREN,municipality,5.223481907,51.62706035,7,10,15,NL.NB.HR,haaren,gadm,shape,3,nl,,,,9429,,
167,Halderberge,HALDERBERGE,municipality,4.525485032,51.59105198,7,10,15,NL.NB.HB,halderberge,gadm,shape,3,nl,,,,12136,,
168,Heeze-Leende,HEEZE-LEENDE,municipality,5.573352615,51.36148533,7,10,15,NL.NB.HL,heeze-leende,gadm,shape,3,nl,,,,17013,,
169,Helmond,HELMOND,municipality,5.664258888,51.47766365,7,10,15,NL.NB.HM,helmond,gadm,shape,3,nl,,,,8814,,
170,Heusden,HEUSDEN,municipality,5.165029615,51.69740257,7,10,15,NL.NB.HS,heusden,gadm,shape,3,nl,,,,13116,,
171,Hilvarenbeek,HILVARENBEEK,municipality,5.148826511,51.47988536,7,10,15,NL.NB.HI,hilvarenbeek,gadm,shape,3,nl,,,,16001,,
172,Netherlands,NETHERLANDS,country,5.582313401,52.26557456,2,6,7,NL,netherlands,gadm,shape,1,nl,,,,6178600,,
173,Laarbeek,LAARBEEK,municipality,5.618575873,51.53220116,7,10,15,NL.NB.LB,laarbeek,gadm,shape,3,nl,,,,9010,,
174,Landerd,LANDERD,municipality,5.665938857,51.71779241,7,10,15,NL.NB.LN,landerd,gadm,shape,3,nl,,,,11431,,
